student_id,midterm_score,final_score,performance_score,assignment_count,participation_level,question_count,night_study,absence_count,behavior_score
1,39.7,62.7,62.8,4,중,1,0,1,1
2,46.5,69.1,62.6,3,하,1,0,1,4
3,64.1,89.0,71.9,2,중,1,1,1,2
4,51.0,48.5,78.1,3,중,0,1,3,1
5,72.4,67.3,82.4,3,상,2,1,0,-7
6,71.5,66.9,81.7,1,상,0,1,0,5
7,65.5,78.7,92.4,6,상,4,0,3,-2
8,63.4,34.4,67.6,1,하,2,0,0,5
9,54.9,66.7,87.7,6,중,5,0,1,5
10,59.3,62.6,73.3,3,중,2,1,0,-3
11,71.7,86.1,73.3,3,상,0,1,1,4
12,44.5,62.5,51.7,2,하,0,0,0,-2
13,65.1,58.3,73.0,3,중,2,0,0,-2
14,62.6,44.4,78.9,2,상,5,0,1,1
15,88.3,64.2,78.9,6,상,1,0,1,1
16,83.2,69.8,87.1,2,상,0,1,1,0
17,88.4,64.0,70.2,7,중,7,1,0,-6
18,63.4,71.7,53.3,2,중,0,1,1,-1
19,77.7,60.4,88.4,0,중,1,1,0,10
20,89.0,91.7,74.9,5,상,2,1,10,-10
21,56.5,77.3,69.5,0,중,2,1,1,4
22,79.4,69.3,71.1,6,상,0,0,2,5
23,69.0,73.1,87.2,3,상,3,1,1,-6
24,78.0,78.7,69.9,3,중,2,1,1,-2
25,47.4,64.7,50.7,4,중,2,0,2,-5
26,68.0,86.0,88.5,4,중,0,1,2,8
27,68.7,78.4,58.3,8,상,3,1,0,5
28,56.1,52.8,58.3,3,중,0,0,3,5
29,79.4,62.2,71.9,1,중,0,1,1,1
30,80.0,84.1,76.7,4,상,2,1,0,6
31,75.9,74.0,74.6,0,중,2,1,0,0
32,77.2,68.3,73.8,2,상,3,1,2,6
33,59.4,64.7,82.1,4,상,2,0,1,-1
34,61.5,47.4,72.4,1,하,1,0,1,-3
35,64.6,50.4,57.0,5,하,0,0,1,8
36,40.0,43.3,63.2,3,중,2,0,1,0
37,43.5,43.7,40.3,0,중,1,0,2,-4
38,56.4,54.6,76.2,4,상,1,1,2,-4
39,45.9,42.0,62.4,1,중,0,0,2,-4
40,60.9,75.9,67.6,6,중,0,1,2,4
41,73.0,78.3,76.0,3,상,1,0,5,0
42,50.4,41.0,56.8,1,중,1,0,2,10
43,67.6,72.6,60.4,1,상,2,1,2,5
44,60.5,49.2,67.4,0,하,1,1,0,1
45,80.8,91.5,71.8,3,상,1,1,0,6
46,55.6,73.7,59.3,2,중,0,1,1,-2
47,58.0,45.6,65.1,4,중,1,0,3,-8
48,63.0,65.0,70.3,5,중,0,0,1,-4
49,70.1,76.5,64.1,2,중,0,1,1,1
50,71.5,81.3,63.5,5,상,1,1,1,-1
51,66.0,63.0,63.9,5,하,0,1,0,4
52,80.7,86.3,70.8,1,중,2,1,0,-1
53,55.1,64.7,81.5,0,하,2,1,3,3
54,86.8,87.7,62.3,2,하,2,1,1,7
55,67.1,68.4,50.7,2,중,1,0,1,-1
56,74.1,60.9,50.2,2,하,1,1,2,2
57,66.8,65.2,61.9,6,상,1,1,2,-8
58,66.3,65.9,80.4,6,상,2,0,1,-1
59,75.6,76.3,93.5,5,상,2,1,1,-6
60,63.2,38.4,58.8,6,중,0,0,3,1
61,55.8,65.3,60.7,2,중,3,0,2,1
62,85.7,93.6,95.3,6,상,0,1,2,1
63,73.4,62.6,71.7,4,중,1,1,3,-2
64,63.8,83.9,76.2,1,중,0,1,0,10
65,83.8,55.0,70.5,4,상,1,1,2,-6
66,68.0,75.8,70.4,3,중,0,1,3,-6
67,68.0,75.0,54.2,2,상,1,0,8,7
68,60.5,61.0,73.1,3,중,1,1,1,-3
69,78.7,82.6,88.1,7,상,4,1,0,-4
70,70.1,72.0,59.7,2,하,0,1,1,10
71,57.0,55.6,50.3,3,중,2,0,2,4
72,70.0,46.1,83.7,0,상,1,1,10,-3
73,80.0,73.7,100.0,1,상,1,1,1,1
74,84.4,68.7,71.4,1,중,2,1,1,9
75,44.7,38.6,59.4,5,중,2,0,0,3
76,58.8,63.0,75.4,3,중,0,1,1,6
77,56.0,31.2,53.4,2,중,0,0,1,4
78,84.6,71.9,65.6,2,상,1,0,2,4
79,84.5,76.9,86.4,6,중,0,1,1,0
80,56.8,60.7,46.4,2,상,1,0,1,0
